#test
Nucleariida,核形虫
Fungi,真菌
Filasterea,蜷丝球虫
Ichthosporea,鱼孢霉
Animals,动物
Choanoflagellata,领鞭毛虫
Opisthokonta,后鞭毛生物
Holozoa,动物总界
#animal
Ctenophora,栉水母
Porifera,多孔动物
Placozoa,扁盘动物
Cnidaria,刺胞动物
Xenacoelomorpha,异无腔动物
Echinodermata,棘皮动物
Hemichordata,半索动物
Cephalochordata,头索动物
Urochordata,尾索动物
Craniata,有头动物
Chaetognatha,毛颚动物
Bryozoa,外肛动物
Entoprocta,内肛动物
Cycliophora,环口动物
Annelida,环节动物
Mollusca,软体动物
Nemertea,纽形动物
Brachiopoda,腕足动物
Phoronida,帚虫动物
Gastrotricha,腹毛动物
Platyhelminthes,扁形动物
Gnathostomulida,颚胃动物
Micrognathozoa,微颚动物
Rotifera,轮形动物
Orthonectida,直泳动物
Dicyemida,二胚虫
Priapulida,鳃曳动物
Loricifera,铠甲动物
Kinorhyncha,动吻动物
Nematoda,线虫动物
Nematomorpha,线形虫动物
Tardigrada,缓步动物
Onychophora,有爪动物
Arthropoda,节肢动物
#higher ranks
Bilateria,两侧对称动物
Deuterostomia,后口动物
Ambulacraria,步带动物
Chordata,脊索动物
Protostomia,原口动物
Spiralia,螺旋卵裂动物
Ecdysozoa,蜕皮动物
Scalidophora,有棘动物
Panarthropoda,泛节肢动物
Trochozoa,担轮动物
