#test
Nucleariida,核形虫
Fungi,真菌
Filasterea,蜷丝球虫
Ichthosporea,鱼孢霉
Animals,动物
Choanoflagellata,领鞭毛虫
Opisthokonta,后鞭毛生物
Holozoa,动物总界
Holomycota,菌物总界
Teretosporea,丸孢门
Metazoa,动物

#animal
Ctenophora,栉水母
Porifera,多孔动物
Placozoa,扁盘动物
Cnidaria,刺胞动物
Xenacoelomorpha,异无腔动物
Echinodermata,棘皮动物
Hemichordata,半索动物
Cephalochordata,头索动物
Urochordata,尾索动物
Craniata,有头动物
Chaetognatha,毛颚动物
Bryozoa,外肛动物
Entoprocta,内肛动物
Cycliophora,环口动物
Annelida,环节动物
Mollusca,软体动物
Nemertea,纽形动物
Brachiopoda,腕足动物
Phoronida,帚虫动物
Gastrotricha,腹毛动物
Platyhelminthes,扁形动物
Gnathostomulida,颚胃动物
Micrognathozoa,微颚动物
Rotifera,轮形动物
Orthonectida,直泳动物
Dicyemida,二胚虫
Priapulida,鳃曳动物
Loricifera,铠甲动物
Kinorhyncha,动吻动物
Nematoda,线虫动物
Nematomorpha,线形虫动物
Tardigrada,缓步动物
Onychophora,有爪动物
Arthropoda,节肢动物

#higher ranks
Bilateria,两侧对称动物
Deuterostomia,后口动物
Ambulacraria,步带动物
Chordata,脊索动物
Protostomia,原口动物
Spiralia,螺旋卵裂动物
Ecdysozoa,蜕皮动物
Scalidophora,有棘动物
Panarthropoda,泛节肢动物
Trochozoa,担轮动物

#Deuterostome
Deuterostome,后口动物
Echinodermata,棘皮动物
Notochord,脊索
Cephalochordata,头索动物
Urochodata,尾索动物
Head,头
Myxini,盲鳗
Vertebral column,脊柱
Petromyzontida,七鳃鳗
Jaws,颌
mineralized skeleton,矿化骨骼
Chondrichthyes,软骨鱼
Lungs or lung derivatives,肺或肺衍生物
Actinopterygii,辐鳍鱼
Lobed fins,分裂的鳍
Actinistia,腔棘鱼
Dipnoi,肺鱼
Legs,腿
Amphibia,两栖类
Amniotic egg,羊膜卵
Reptilia,爬行类
Mammalia,哺乳类
Milk,哺乳
Chordates,脊索动物
Craniates,有头动物
Vertebrates,脊椎动物
Gnathostomes,有颌类
Osteichthyans,硬骨鱼
Sarcopterygii,肉鳍鱼
Tetrapods,四足动物
Amniotes,羊膜动物

#Oleaceae
Oleaceae,木犀科
#Fontanesieae,雪柳族
Fontanesia,雪柳属
#Forsythieae,连翘族
Abeliophyllum,六道木叶属
Forsythia,连翘属
#Jasmineae,素馨族
Jasminum,素馨属
Menodora
#Myxopyreae,胶核木族
Dimetra
Myxopyrum,胶核木属
Nyctanthes,夜花属
#Oleeae,木犀榄族
Cartrema
Chionanthus,流苏树属
Comoranthus
Forestiera
Fraxinus,梣属
Haenianthus
Hesperelaea
Ligustrum,女桢属
Nestegis
Noronhia
Notelaea
Olea,木犀榄属
Osmanthus,木犀属
Phillyrea,欧女桢属
Picconia
Priogymnanthus
Schrebera
Syringa,丁香属

#APG IV
Amborellales,无油樟目
Nymphaeales,睡莲目
Austrobaileyales,木兰藤目
Magnoliales,木兰目
Laurales,樟目
Canellales,白樟目
Piperales,胡椒目
Chloranthales,金粟兰目
Arecales,棕榈目
Poales,禾本目
Commelinales,鸭跖草目
Zingiberales,姜目
Asparagales,天门冬目
Liliales,百合目
Dioscoreales,薯蓣目
Pandanales,露兜树目
Petrosaviales,无叶莲目
Alismatales,泽泻目
Acorales,菖蒲目
Monots,单子叶
Ceratophyllales,金鱼藻目
Ranunculales,毛茛目
Proteales,山龙眼目
Trochodendrales,昆栏树目
Buxales,黄杨目
Gunnerales,大叶草目
Fabales,豆目
Rosales,蔷薇目
Fagales,壳斗目
Cucurbitales,葫芦目
Oxalidales,酢浆草目
Malpighiales,金虎尾目
Celastrales,卫矛目
Zygophyllales,蒺藜目
Geraniales,牻牛儿苗目
Myrtales,桃金娘目
Crossosomatales,缨子木目
Picramniales,美洲苦木目
Malvales,锦葵目
Brassicales,十字花目
Huerteales,腺椒树目
Sapindales,无患子目
Vitales,葡萄目
Rosids,蔷薇分支
Saxifragales,虎耳草目
Superrosids,超蔷薇分支
Dilleniales,五桠果目
Berberidopsidales,红珊藤目
Santalales,檀香目
Caryophyllales,石竹目
Cornales,山茱萸目
Ericales,杜鹃花目
Aquifoliales,冬青目
Asterales,菊目
Escalloniales,南鼠刺目
Bruniales,绒球花目
Apiales,伞形目
Dipsacales,川绿断目
Paracryphiales,盔被花目
Solanales,茄目
Lamiales,唇形目
Vahliales,黄漆茹目
Gentianales,龙胆目
Boraginales,紫草目
Garryales,丝缨花目
Metteniusales,水螅花目
Icacinales,茶茱萸目
Asterids,菊分支
Superasterids,超菊分支
Eudicoty,真双子叶
Angiosperms,被子植物

#Algae
Cyanobacteria,蓝藻门
Euglenozoa,祼藻门
Euglenida,祼藻纲
Kinetoplastea,动基体纲
Alveolata,囊泡虫类
Dinophyceae,沟鞭藻纲
Apicomplexa,顶复门
Ciliophora,纤毛虫
Haptophyta,定鞭藻门
Cryptophyceae,隐藻纲
Chrysophyceae,金藻纲
Bacillariophyta,硅藻门
Rhodophyta,红藻门
Chlorophyta,绿藻门
Glaucocystophyceae,灰胞藻纲
Phaeophyceae,褐藻纲
Ochrophyta,淡色藻门
Eukaryota,真核生物
